GivenName,Surname,City,Company,Country,Department,EmployeeNumber,HomePhone,MobilePhone,POBox,StreetAddress,Title,SamAccountName,AccountPassword,EmailAddress,PasswordNeverExpires,PasswordNotRequired,Enabled,AllowReversiblePasswordEncryptio,AccountNotDelegated,AccountExpirationDate,TrustedForDelegation,OfficePhone,CompoundIdentitySupported,ChangePasswordAtLogon,CannotChangePassword,thumbnailPhoto,Name,OU,Group
Mark,Molenaar,Rotterdam postbusnummers,Omba,NL,Human Resources,11-707-5958,,31192822937,,,,Mark43,ZK2Eg+.w0,mark.molenaar@floris.nl,TRUE,FALSE,,,,7/14/2020,,,TRUE,FALSE,TRUE,https://api.adorable.io/avatars/500/Mark Molenaar.png,Mark Molenaar,,
Lammert,Pellens,Rotterdam,Thoughtmix,NL,Support,88-968-0135,,31778752000,,,,Lammert39,yv(0S.ww0,lammert.pellens@floris.nl,,TRUE,,,,,,31558765399,,FALSE,TRUE,https://api.adorable.io/avatars/500/Lammert Pellens.png,Lammert Pellens,,Secretary-GD
Melissa,Nelissen,Rotterdam,Voonder,NL,Legal,88-203-9412,,31290932164,1776 SB,Loes van Overeemlaan 102,,Melissa42,DS3Cx*!P1,melissa.nelissen@floris.nl,,,,,,,,31126983594,,,,https://api.adorable.io/avatars/500/Melissa Nelissen.png,Melissa Nelissen,,
Charlotte,van der Winkel,Dordrecht,Jazzy,NL,Human Resources,62-424-2111,164372280,31292662579,3773 RO,Bisonspoor 25,,Charlotte18,CB!M`!#l-,charlotte.van_der_winkel@floris.nl,,,,,,7/14/2020,,31353238463,,,,https://api.adorable.io/avatars/500/Charlotte van der Winkel.png,Charlotte van der Winkel,"OU=VIP,DC=floris,DC=local",HR-GS
Anno,van Steen,Dordrecht,Realpoint,NL,Product Management,61-467-0030,,31484492170,3728 RI,Stationsplein 27,,Anno33,"gz,qw3am%",anno.van_steen@floris.nl,,,,,,5/29/2020,,31548263510,,,,https://api.adorable.io/avatars/500/Anno van Steen.png,Anno van Steen,,
Godfried,Brouns,Nieuwegein,Browsezoom,NL,Legal,18-228-8261,,31685135703,1209 BL,Oudestraat 5,,Godfried49,2k+Is1XO2,godfried.brouns@floris.nl,FALSE,,,,,11/23/2021,,31130284572,FALSE,,,https://api.adorable.io/avatars/500/Godfried Brouns.png,Godfried Brouns,,Secretary-GD
Harmen,van der Vaart,Utrecht (stad),Rhyzio,NL,Services,06-555-4597,408989260,31733029645,1080 AC,Wetering 5,Ms,Harmen50,"aH.nh#VW""",harmen.van_der_vaart@floris.nl,TRUE,,,,,,,31106103192,TRUE,,,https://api.adorable.io/avatars/500/Harmen van der Vaart.png,Harmen van der Vaart,,
Marijke,Stuijt,Utrecht (stad),Edgeclub,NL,Human Resources,01-331-5047,,31406544549,2461 AS,Hogekampweg 8,Ms,Marijke31,kU%DY$.C$,marijke.stuijt@floris.nl,,,,,,10/27/2020,,,,,,,Marijke Stuijt,,
Lina,Meulen,Tiel,Yotz,NL,Legal,01-385-7261,465502665,31167832759,,,Prof,Lina36,*L!]x2KD6,lina.meulen@floris.nl,TRUE,,,,,6/28/2020,,,FALSE,,,,Lina Meulen,,Finance-DS
Michiel,van der Linden,Vlissingen,Skynoodle,NL,Training,01-611-7308,299213435,31787473380,5646 JL,Bredeweg 1,,Michiel56,ey2\D-!r7,michiel.van_der_linden@floris.nl,,,,,,6/24/2020,,,,,,,Michiel van der Linden,"OU=VIP,DC=floris,DC=local",
Teuntje,Bot,Breda,Zoozzy,NL,Marketing,25-012-5305,282463191,31859897824,1966 QY,Blauwe Kei 39,Jr,Teuntje40,ES2>V5%p4,teuntje.bot@floris.nl,,,,,,,,,,,,,Teuntje Bot,,
Diede,Wortel,Breda,Tagcat,NL,Human Resources,00-853-7917,422625629,31262897339,3964 DQ,Karel de Grotestraat 37,Esq,Diede52,8l)#V.hT6,diede.wortel@floris.nl,,,,,,7/14/2020,,,,,,,Diede Wortel,,
Merijn,Dekker,Breda,Blogtag,NL,Engineering,09-934-6721,227019706,31707922957,3703 UT,Rijn Middelburgstraat 41,St,Merijn30,"pG6""K)>\&",merijn.dekker@floris.nl,,,,,,,,,,,,,Merijn Dekker,,Secretary-GD
Jurjen,de Groof,Breda,Oozz,NL,Support,83-090-8706,572606861,31458304364,4946 MS,Beekstraat 50,Jr,Jurjen38,"Ih)UH,fV$",jurjen.de_groof@floris.nl,FALSE,,FALSE,FALSE,FALSE,,TRUE,31335818362,FALSE,,,https://api.adorable.io/avatars/500/Jurjen de Groof.png,Jurjen de Groof,"OU=VIP,DC=floris,DC=local",
Allegonda,Webber,Etten-Leur,Katz,NL,Training,84-627-0037,152148585,31527194937,1868 BP,Schiedamseweg 124,Mrs,Allegonda49,.V5Vb.Eh-,allegonda.webber@floris.nl,TRUE,,,,,8/25/2020,,31378279148,TRUE,,FALSE,https://api.adorable.io/avatars/500/Allegonda Webber.png,Allegonda Webber,,
Alje,Boersma,Tilburg,Jaxspan,NL,Accounting,77-623-7920,,31321813890,1412 PM,Torenlaan 1,Jr,Alje38,(s0Rp06H/,alje.boersma@floris.nl,,,,,,8/28/2021,,31131033600,,,,https://api.adorable.io/avatars/500/Alje Boersma.png,Alje Boersma,"OU=Isolated,DC=floris,DC=local",HR-GS
Greta,de Boer,Dongen,Dabshots,NL,Marketing,30-311-9111,,31816067856,2881 XD,Mathildelaan 69,Rev,Greta18,WR3ec/+O2,greta.de_boer@floris.nl,FALSE,,,,,,,,TRUE,,,https://api.adorable.io/avatars/500/Greta de Boer.png,Greta de Boer,,
Eltje,Laan,Waalwijk,Tazzy,NL,Support,10-066-0407,217347710,31846023492,,,Mrs,Eltje58,&E&a]*qE7,eltje.laan@floris.nl,,TRUE,,,,10/31/2020,,,,FALSE,FALSE,https://api.adorable.io/avatars/500/Eltje Laan.png,Eltje Laan,,Finance-DS
Silvijn,Crousaz,Rosmalen,Nlounge,NL,Research and Development,64-718-6531,342988262,31354192456,,,Jr,Silvijn34,BM(sp6HW1,silvijn.crousaz@floris.nl,FALSE,,,,,,,,TRUE,,,https://api.adorable.io/avatars/500/Silvijn Crousaz.png,Silvijn Crousaz,"OU=VIP,DC=floris,DC=local",
Anouk,van Luijpen,Oss,Geba,NL,Engineering,45-342-2215,,31947628139,,,,Anouk24,"mY'+C&IS""",anouk.van_luijpen@floris.nl,FALSE,,TRUE,TRUE,FALSE,6/18/2022,TRUE,31355832201,TRUE,,,,Anouk van Luijpen,"OU=VIP,DC=floris,DC=local",Legal-US
Arnold,Vlug,Oss,Topicshots,NL,Human Resources,06-642-3752,559417916,31177166444,,,,Arnold10,1J.2`*mA%,arnold.vlug@floris.nl,,,,,,11/21/2021,,31550977062,,,,,Arnold Vlug,"OU=VIP,DC=floris,DC=local",
Merlijn,"Meijer, Meyer",Veghel,Vinder,NL,Product Management,32-531-3805,,31271135925,3592 TL,Nieuwe Jachthaven 16,,Merlijn19,\m0TL9PQ2,"merlijn.meijer,_meyer@floris.nl",FALSE,,,,,,,31171367924,FALSE,,,,"Merlijn Meijer, Meyer","OU=VIP,DC=floris,DC=local",Secretary-GD
Cathelijne,Sanders,Veghel,Rooxo,NL,Engineering,85-711-7240,,31265915188,3872 SL,De Smidse 1,,Cathelijne34,"4[)\z""*e*",cathelijne.sanders@floris.nl,,,,,,10/29/2021,,31345195539,,,,,Cathelijne Sanders,"OU=VIP,DC=floris,DC=local",
Amal,van Loenen,Eindhoven,Muxo,NL,Human Resources,34-781-6441,412284780,31658591563,1382 DO,Krinkelwinkel 1,,Amal12,"Oq4#B3#O,",amal.van_loenen@floris.nl,TRUE,,,,,7/18/2021,,,TRUE,,,https://api.adorable.io/avatars/500/Amal van Loenen.png,Amal van Loenen,,
Thieme,Weenink,Venlo,Rhybox,NL,Training,46-479-8211,,31186925074,,Noordwal 28,,Thieme29,",A.U`1`E9",thieme.weenink@floris.nl,,,,,,6/13/2020,,31239609939,,,,https://api.adorable.io/avatars/500/Thieme Weenink.png,Thieme Weenink,,HR-GS
Nigel,Meulen,Venlo,Zoomdog,NL,Human Resources,16-942-9081,,31686476421,,Fahrenheitstraat 25,,Nigel51,Tr&$e8Sw2,nigel.meulen@floris.nl,,TRUE,,,,7/14/2020,,31474794700,,FALSE,TRUE,https://api.adorable.io/avatars/500/Nigel Meulen.png,Nigel Meulen,,
Nicolaas,Kuijpers,Maastricht,Vitz,NL,Research and Development,44-591-5525,,31251801673,,Wetering 11,,Nicolaas30,",E"",a*Jr1",nicolaas.kuijpers@floris.nl,,,,,,11/19/2020,,,,,,https://api.adorable.io/avatars/500/Nicolaas Kuijpers.png,Nicolaas Kuijpers,,
Leonard,de Vries,Maastricht,Fadeo,NL,Business Development,11-845-5017,312492393,31750455533,,Legtenbergerstraat 31,,Leonard27,hb3$M#Fq&,leonard.de_vries@floris.nl,,,,,,,,31383292109,,,,https://api.adorable.io/avatars/500/Leonard de Vries.png,Leonard de Vries,"OU=VIP,DC=floris,DC=local",
Gradus,Zonneveld,Nijmegen,Wordify,NL,Services,34-538-9162,,31371040561,5195 TD,Postelseweg 20a,,Gradus53,8h%b]3HZ.,gradus.zonneveld@floris.nl,,,,,,7/14/2020,,,,,,https://api.adorable.io/avatars/500/Gradus Zonneveld.png,Gradus Zonneveld,,
Engelina,van der Pand,Arnhem,Pixoboo,NL,Legal,54-970-1168,,31691911395,3728 RB,Hoofdweg 1,,Engelina52,Sd0\E1Ax/,engelina.van_der_pand@floris.nl,,,,,,10/24/2021,,31304534212,,,,,Engelina van der Pand,,Secretary-GD
Merlijn,Bosch,Arnhem,Mymm,NL,Sales,95-447-1522,,31746643077,2624 JK,Herenweg 5,,Merlijn43,#F(ro7sm-,merlijn.bosch@floris.nl,,,,,,,,31445995537,,,,,Merlijn Bosch,,
Evelien,Knuijsen,Doetinchem,Wikizz,NL,Human Resources,99-271-8574,376083630,31519123019,5867 EF,Terpstraat 292a,,Evelien20,"6^""gf-Rb""",evelien.knuijsen@floris.nl,FALSE,FALSE,,,,3/31/2021,,,TRUE,FALSE,FALSE,,Evelien Knuijsen,,
Tieme,Loon,Doetinchem,Babbleblab,NL,Services,98-933-8166,,31968277177,1972 OL,Bruggehoofd 35,,Tieme54,-Q(4C.@R',tieme.loon@floris.nl,,,,,,7/14/2020,,,,,,,Tieme Loon,"OU=VIP,DC=floris,DC=local",
Josefien,Claes,Apeldoorn,Fliptune,NL,Support,16-819-5742,462538027,31864997985,2506 MX,Wilhelminaweg 52,St,Josefien17,"7Z,vo1Wb#",josefien.claes@floris.nl,,,,,,11/22/2021,,,,,,,Josefien Claes,,Legal-US
Alje,Boons,Enschede,Gabcube,NL,Research and Development,06-683-7267,,31700236509,2967 HX,,Esq,Alje40,PX7Vd+rH&,alje.boons@floris.nl,,TRUE,FALSE,TRUE,TRUE,4/30/2020,FALSE,,,FALSE,FALSE,,Alje Boons,,
Liene,Thomassen,Hoogeveen,Twitternation,NL,Research and Development,58-729-1944,,31313391978,1609 VI,Hessenweg 2,Jr,Liene36,J`#ml7\Y.,liene.thomassen@floris.nl,,TRUE,,,,,,,,TRUE,FALSE,,Liene Thomassen,,
Floris,Postma,Zwolle,Topicstorm,NL,Engineering,39-922-8014,,31833650953,4812 KE,Molenstraat 17,Jr,Floris18,Ro)pg/Cv&,floris.postma@floris.nl,,,,,,7/14/2020,,31444426664,,,,https://api.adorable.io/avatars/500/Floris Postma.png,Floris Postma,"OU=Isolated,DC=floris,DC=local",HR-GS
Ferre,Biersteker,Zwolle,Mynte,NL,Services,94-048-2079,330636411,31139582871,3641 GO,Gerard Doulaan 2,Jr,Ferre43,gD9dz!ze',ferre.biersteker@floris.nl,,,,,,,,31357745857,,,,https://api.adorable.io/avatars/500/Ferre Biersteker.png,Ferre Biersteker,,Finance-DS
Finn,Stoelinga,Zwolle,Ntags,NL,Research and Development,64-603-6597,,31157666554,3404 FJ,Stationsplein 5,Esq,Finn42,rt3t]4vZ.,finn.stoelinga@floris.nl,,,,,,11/24/2021,,31256308163,,,,https://api.adorable.io/avatars/500/Finn Stoelinga.png,Finn Stoelinga,,
Emma,Brouwer,Lelystad,Zoombox,NL,Training,04-917-5177,,31146992786,1770 ZJ,President Kennedylaan 1,Jr,Emma17,WF-LX%Ik2,emma.brouwer@floris.nl,,,,,,7/14/2020,,31573937720,,,,https://api.adorable.io/avatars/500/Emma Brouwer.png,Emma Brouwer,,
Berendina,Karsten,Lelystad,Skinix,NL,Business Development,16-933-9748,188820493,31827315029,,,Rev,Berendina57,"-X""Wd)DO0",berendina.karsten@floris.nl,,,,,,7/14/2020,,,,,,https://api.adorable.io/avatars/500/Berendina Karsten.png,Berendina Karsten,,
Finn,N.N,Groningen,Buzzshare,NL,Human Resources,48-916-9843,305856814,31861524301,,,Hon,Finn11,ms6=y7Ll9,finn.n.n@floris.nl,,,,,,1/27/2022,,,,,,https://api.adorable.io/avatars/500/Finn N.N.png,Finn N.N,,
Dewi,Noots,Rosmalen,Lazz,NL,Training,78-277-3758,249646519,31358178434,,,Mr,Dewi42,"_M%hB!Nx""",dewi.noots@floris.nl,,,,,,2/18/2022,,,,,,https://api.adorable.io/avatars/500/Dewi Noots.png,Dewi Noots,,Secretary-GD
Alle,Oostendorp,Delft,Babblestorm,NL,Research and Development,15-485-3635,220197876,31851741379,4788 AJ,Van Schuijlenburgweg 50,,Alle36,Vm#UF*Nx(,alle.oostendorp@floris.nl,,,,,,,,,,,,https://api.adorable.io/avatars/500/Alle Oostendorp.png,Alle Oostendorp,"OU=VIP,DC=floris,DC=local",
Tonia,Buijvoets,Veghel,Ailane,NL,Support,03-478-7141,,31774895278,3607 NU,Delftseveerweg 9,,Tonia35,@O98h88u6,tonia.buijvoets@floris.nl,,,,,,7/16/2020,,,,,,https://api.adorable.io/avatars/500/Tonia Buijvoets.png,Tonia Buijvoets,,
Stijntje,Meuwis,Hengelo,Miboo,NL,Engineering,00-266-2015,,31547333789,3351 HK,Parklaan 61,,Stijntje57,bL#gr#1i#,stijntje.meuwis@floris.nl,TRUE,,,,,,,,FALSE,FALSE,,https://api.adorable.io/avatars/500/Stijntje Meuwis.png,Stijntje Meuwis,,Legal-US
Reijer,van Gent,Katwijk,Gigaclub,NL,Research and Development,95-275-8424,132874573,31717956121,,Straatweg 25,St,Reijer30,go!Q`9&f5,reijer.van_gent@floris.nl,,,,,,,,31375034533,,,,https://api.adorable.io/avatars/500/Reijer van Gent.png,Reijer van Gent,,
Mathijs,Boeyvoets,Breda,Skivee,NL,Research and Development,01-318-1219,,31879091769,,Middenweg 4,Hon,Mathijs42,$o/Dm/gg6,mathijs.boeyvoets@floris.nl,,TRUE,,,,7/14/2020,,31120277286,,TRUE,FALSE,https://api.adorable.io/avatars/500/Mathijs Boeyvoets.png,Mathijs Boeyvoets,,
Joanne,Erdogdu,Nijmegen,Jaxnation,NL,Engineering,68-572-0442,258517749,31955709168,,Houttuinlaan 15,Hon,Joanne34,;e1Fn3Uf2,joanne.erdogdu@floris.nl,,,,,,12/21/2021,,,,,,,Joanne Erdogdu,"OU=VIP,DC=floris,DC=local",HR-GS
Ize,Peters,Maastricht,Vipe,NL,Business Development,81-087-2484,496198747,31375097137,,Westeinde 1,Hon,Ize30,8L'#s3%X*,ize.peters@floris.nl,,,,,,12/23/2021,,31250971020,,,,,Ize Peters,,
Janna,Koppes,,,,,,,,2217 BG,,Jr,Janna20,pR/My5m\/,janna.koppes@floris.nl,,,,,,7/14/2020,,31369409017,,,,,Janna Koppes,,
Eduard,Völker,,,,,,,,4231 GY,Waezenburglaan 250,Hon,Eduard11,2`5M\%-Q/,eduard.völker@floris.nl,,,,,,,,31430978703,,,,,Eduard Völker,,Secretary-GD
Lisa,Pellens,,,,,,,,5679 EP,Kerklaan 20,,Lisa59,"SH)7F""#i9",lisa.pellens@floris.nl,,,,,,7/14/2020,,31133384100,,,,,Lisa Pellens,,
Otto,Caminada,,,,,,,,1966 AF,Breeakkerstraat 100d,Mr,Otto37,"ld,Zj1HO)",otto.caminada@floris.nl,,,TRUE,TRUE,TRUE,2/13/2022,TRUE,31472290805,,,,,Otto Caminada,"OU=VIP,DC=floris,DC=local",
Marretje,Poll,,,,,,509030554,,5536 MW,Albert Schweitzerlaan 3,St,Marretje32,"0f.3].ln""",marretje.poll@floris.nl,,,,,,7/14/2020,,,,,,,Marretje Poll,,
Geesje,Praets,,,,,,,,2870 OZ,Sint Joosterweg 5,,Geesje14,?A(Dl7FY.,geesje.praets@floris.nl,,,,,,,,31181307327,,,,https://api.adorable.io/avatars/500/Geesje Praets.png,Geesje Praets,,
August,Haaisma,,,,,,400828801,,4555 OJ,Bosschendijk 4,,Aug-53,Tg9Hf1]f',august.haaisma@floris.nl,,,,,,7/14/2020,,31387078985,,,,https://api.adorable.io/avatars/500/August Haaisma.png,August Haaisma,"OU=Isolated,DC=floris,DC=local",Finance-DS
Liese,de Jonge,,,,,,145817160,,1527 MM,,,Liese27,tw'#N*]r7,liese.de_jonge@floris.nl,,,,,,7/14/2020,,31271078051,,,,https://api.adorable.io/avatars/500/Liese de Jonge.png,Liese de Jonge,,
Teije,Schouten,,,,,,271735834,,2083 LI,,,Teije59,FO9QA5pP',teije.schouten@floris.nl,TRUE,,,,,,,31116722232,TRUE,,,,Teije Schouten,"OU=VIP,DC=floris,DC=local",
Teuntje,van Veen,,,,,,577577770,,5559 YV,,,Teuntje51,fW9Vn%p\5,teuntje.van_veen@floris.nl,,,,,,,,31522772769,,,,https://api.adorable.io/avatars/500/Teuntje van Veen.png,Teuntje van Veen,,Legal-US
Elise,Campbell,,,,,,457830853,,1157 UV,Havenweg 2,,Elise44,&g%-c&Yw3,elise.campbell@floris.nl,FALSE,,,,,,,31389035049,FALSE,,,https://api.adorable.io/avatars/500/Elise Campbell.png,Elise Campbell,,
Elle,Sanders,,,,,,,,,Logistiekweg 9,,Elle58,"FJ(hf5,E0",elle.sanders@floris.nl,,,,,,12/31/2021,,,,,,https://api.adorable.io/avatars/500/Elle Sanders.png,Elle Sanders,,
Divera,van Loo,,,,,,,,,Driehoeven 24,Hon,Divera29,rP/ox#>v%,divera.van_loo@floris.nl,,FALSE,,,,7/14/2020,,31172455445,,TRUE,FALSE,https://api.adorable.io/avatars/500/Divera van Loo.png,Divera van Loo,"OU=VIP,DC=floris,DC=local",
Mia,Brouwer,,,,,,552867605,,,Promenade 3,Ms,Mia34,"3s'L`3V]""",mia.brouwer@floris.nl,,,,,,10/23/2020,,31170183062,,,,https://api.adorable.io/avatars/500/Mia Brouwer.png,Mia Brouwer,,HR-GS
Laurens,Hertel,,,,,,,,,Bosstraat 20a,Mrs,Laurens25,2H8JA(8K%,laurens.hertel@floris.nl,,,,,,6/29/2022,,31448247084,,,,https://api.adorable.io/avatars/500/Laurens Hertel.png,Laurens Hertel,,
